symbol,exchange,category,pull
COIN,NASDAQ,crypto_fintech,1
HOOD,NASDAQ,crypto_fintech,1
GLXY,NASDAQ,crypto_fintech,1
SOFI,NASDAQ,crypto_fintech,1
XYZ,NASDAQ,crypto_fintech,1
PYPL,NASDAQ,crypto_fintech,1
EXOD,AMEX,crypto_fintech,1
WU,NYSE,crypto_fintech,1
IBKR,NASDAQ,crypto_fintech,1
QQQ,NASDAQ,etf,1
SPY,NYSE,etf,1
HODL,NASDAQ,crypto_etf,1
MSTR,NASDAQ,btc_treasury,1
CIFR,NASDAQ,btc_mining,1
RIOT,NASDAQ,btc_mining,1
WULF,NASDAQ,btc_mining,1
CORZ,NASDAQ,btc_mining,1
MARA,NASDAQ,btc_mining,1
HUT,NASDAQ,btc_mining,1
CLSK,NASDAQ,btc_mining,1
BTDR,NASDAQ,btc_mining,1
IREN,NASDAQ,btc_mining,1
ABTC,NASDAQ,other,1
ASST,NASDAQ,other,1
BMNR,NASDAQ,other,1
BNC,NASDAQ,other,1
BTBT,NASDAQ,other,1
BTCS,NASDAQ,other,1
CEPO,NASDAQ,other,1
CHYM,NASDAQ,other,1
CRCL,NASDAQ,other,1
DAVE,NASDAQ,other,1
DFDV,NASDAQ,other,1
ETHM,NASDAQ,other,1
ETHZ,NASDAQ,other,1
ETOR,NASDAQ,other,1
FGNX,NASDAQ,other,1
FIGR,NASDAQ,other,1
HSDT,NASDAQ,other,1
HYPD,NASDAQ,other,1
MTPLF,NASDAQ,other,1
NAKA,NASDAQ,other,1
NU,NASDAQ,other,1
PURR,NASDAQ,other,1
SATA,NASDAQ,other,1
SBET,NASDAQ,other,1
SCHW,NASDAQ,other,1
STSS,NASDAQ,other,1
UPXI,NASDAQ,other,1
WT,NASDAQ,other,1
XXI,NASDAQ,other,1
FWDI,NASDAQ,other,1
